,Num_Topics,Dict_predict
0,35.0,"{'local': 0.1098848, 'std': 0.08909694, 'source': 0.08064397, 'variable': 0.07681044, 'usr': 0.07429118, 'bin': 0.05359974, 'env': 0.0397756, 'environment': 0.034671262, 'dev': 0.03195418, 'origin': 0.025199315}"
1,23.0,"{'org': 0.2902259, 'spring': 0.087760836, 'context': 0.07851146, 'springframework': 0.06793124, 'boot': 0.056611575, 'maven': 0.044208188, 'bean': 0.043569423, 'artifactid': 0.029725935, 'groupid': 0.029671965, 'factory': 0.027800733}"
2,29.0,"{'var': 0.11726612, 'log': 0.1170739, 'request': 0.11317167, 'console': 0.071971506, 'array': 0.062093727, 'response': 0.059238892, 'property': 0.054751627, 'access': 0.036110196, 'document': 0.03520895, 'send': 0.025136236}"
3,4.0,"{'image': 0.1377346, 'page': 0.096214294, 'src': 0.09379544, 'html': 0.07723222, 'title': 0.06731612, 'display': 0.04220252, 'location': 0.03994177, 'center': 0.031498004, 'single': 0.02819096, 'boolean': 0.024869826}"
4,34.0,"{'type': 0.26267916, 'id': 0.13482575, 'message': 0.11399486, 'input': 0.0922099, 'field': 0.055808444, 'permission': 0.046780493, 'else': 0.044427875, 'control': 0.034845043, 'text': 0.026193688, 'asp': 0.021549324}"
5,14.0,"{'lib': 0.1458818, 'line': 0.1373626, 'python': 0.11773329, 'py': 0.10685027, 'print': 0.064453095, 'self': 0.042355992, 'output': 0.039282314, 'program': 0.02761995, 'hello': 0.022275629, 'args': 0.01775955}"
6,0.0,"{'run': 0.14301734, 'server': 0.06123574, 'start': 0.059378672, 'docker': 0.055456072, 'command': 0.036173634, 'apache': 0.034530334, 'process': 0.032903038, 'connect': 0.030396072, 'container': 0.029544318, 'connection': 0.026472418}"
7,15.0,"{'value': 0.17637086, 'return': 0.15138336, 'string': 0.114028774, 'object': 0.10859016, 'const': 0.09745332, 'result': 0.07188944, 'token': 0.036371663, 'give': 0.023020016, 'match': 0.01989635, 'collection': 0.015355228}"
8,7.0,"{'key': 0.11630805, 'column': 0.08610763, 'number': 0.08255704, 'index': 0.06653173, 'format': 0.053043302, 'df': 0.04628423, 'plugins': 0.04374358, 'convert': 0.03850344, 'panda': 0.035376586, 'dataframe': 0.031901587}"
9,32.0,"{'div': 0.13326119, 'style': 0.05663814, 'cs': 0.053959988, 'width': 0.053564426, 'height': 0.046969824, 'position': 0.032881174, 'top': 0.026898764, 'container': 0.026758641, 'font': 0.024667652, 'pad': 0.023862367}"
10,20.0,"{'build': 0.070808575, 'gradle': 0.053782396, 'jar': 0.04656726, 'google': 0.04193559, 'dependency': 0.039063863, 'info': 0.038624756, 'release': 0.037074167, 'service': 0.036472794, 'firebase': 0.034957223, 'compile': 0.031760246}"
11,37.0,"{'app': 0.16782145, 'package': 0.12564449, 'version': 0.07421116, 'install': 0.043548904, 'device': 0.038312208, 'application': 0.03626025, 'action': 0.033258498, 'instal': 0.031563204, 'copy': 0.023853969, 'name': 0.021531444}"
12,13.0,"{'import': 0.36993015, 'module': 0.17681116, 'npm': 0.12680219, 'development': 0.027845044, 'bootstrap': 0.02732193, 'master': 0.027086904, '__init__': 0.026989153, 'logger': 0.024502596, 'require': 0.023707917, 'upgrade': 0.020634603}"
13,1.0,"{'add': 0.06792855, 'create': 0.059767455, 'example': 0.04744891, 'change': 0.042462923, 'time': 0.04182034, 'io': 0.041263748, 'update': 0.037532955, 'show': 0.031013135, 'seem': 0.030154502, 'view': 0.029586626}"
14,33.0,"{'java': 0.38393775, 'internal': 0.08814784, 'native': 0.057917193, 'lang': 0.035552967, 'method': 0.026959533, 'sun': 0.024150807, 'runner': 0.023154205, 'invoke': 0.022298673, 'reflect': 0.020962408, 'main': 0.020823304}"
15,9.0,"{'angular': 0.087656096, 'node': 0.060976204, 'component': 0.056439593, 'export': 0.05456961, 'node_modules': 0.04742953, 'err': 0.045969617, 'template': 0.043056622, 'app': 0.03745832, 'src': 0.030675165, 'cli': 0.02958211}"
16,11.0,"{'quot': 0.67478305, 'amp': 0.14726317, 'null': 0.098651834, 'struct': 0.029557569, 'float': 0.020480065, 'external': 0.01463308, 'architecture': 0.006696921, 'else': 0.0038966867, 'printf': 0.0026176388, 'include': 0.0012101468}"
17,5.0,"{'model': 0.07350644, 'require': 0.055453233, 'client': 0.049156457, 'form': 0.048043303, 'header': 0.043988813, 'post': 0.040995806, 'exception': 0.036247462, 'route': 0.03336543, 'async': 0.031165138, 'auth': 0.027891751}"
18,19.0,"{'flutter': 0.15950896, 'text': 0.110457465, 'color': 0.09845833, 'item': 0.09409769, 'child': 0.068389915, 'parent': 0.04494059, 'widget': 0.04466922, 'icon': 0.03987172, 'style': 0.036676824, 'material': 0.03086492}"
19,31.0,"{'json': 0.29366615, 'map': 0.1544475, 'developer': 0.056321308, 'bind': 0.052432586, 'video': 0.044673752, 'website': 0.04119453, 'ignore': 0.041070532, 'binding': 0.038667977, 'attach': 0.033464104, 'person': 0.032576084}"
20,17.0,"{'true': 0.23053575, 'set': 0.2077065, 'false': 0.13368684, 'order': 0.05090386, 'django': 0.048503097, 'must': 0.045534153, 'setting': 0.040165022, 'admin': 0.030762352, 'statement': 0.027570134, 'limit': 0.01880794}"
21,2.0,"{'file': 0.29094058, 'path': 0.0753118, 'include': 0.05445921, 'main': 0.05305961, 'load': 0.049119003, 'site': 0.048980173, 'directory': 0.031956766, 'login': 0.029337477, 'read': 0.023119505, 'feature': 0.017979745}"
22,27.0,"{'core': 0.10500925, 'system': 0.08134425, 'net': 0.0747075, 'framework': 0.06167399, 'private': 0.06007167, 'web': 0.043906007, 'microsoft': 0.04140699, 'reference': 0.035255313, 'compiler': 0.035179634, 'version': 0.03259803}"
23,18.0,"{'data': 0.23380803, 'http': 0.19894516, 'api': 0.077161334, 'url': 0.071294844, 'script': 0.05971846, 'content': 0.0525946, 'save': 0.033803597, 'open': 0.03045362, 'www': 0.025454117, 'close': 0.023908101}"
24,30.0,"{'android': 0.43833897, 'app': 0.053135805, 'id': 0.04780151, 'layout': 0.041604113, 'view': 0.03864037, 'builder': 0.030331844, 'schema': 0.026060037, 'layout_width': 0.02215575, 'layout_height': 0.022126175, 'xml': 0.021187719}"
25,16.0,"{'class': 0.48620322, 'link': 0.10195179, 'tag': 0.059423033, 'span': 0.048924316, 'profile': 0.02978991, 'li': 0.029680504, 'href': 0.02923704, 'active': 0.025071576, 'facebook': 0.017392559, 'viewmodel': 0.01650821}"
26,36.0,"{'list': 0.16494519, 'select': 0.08062452, 'table': 0.07980822, 'row': 0.07205116, 'database': 0.06743667, 'parameter': 0.063151106, 'db': 0.057284914, 'filter': 0.057232972, 'query': 0.057200667, 'specify': 0.03635307}"
27,26.0,"{'function': 0.1951997, 'call': 0.12085798, 'return': 0.074993804, 'use': 0.053178124, 'store': 0.042398244, 'def': 0.039813634, 'python3': 0.038172364, 'instance': 0.036769003, 'second': 0.035703447, 'foo': 0.029400147}"
