,Dominant_Topic,Count_tags
0,35.0,"Counter({'c++': 452, 'bash': 202, 'git': 189, 'python': 140, 'macos': 116, 'linux': 70, 'node.js': 59, 'javascript': 56, 'php': 46, 'docker': 43, 'java': 40, 'github': 37, 'r': 29, 'python-3.x': 22, 'laravel': 22, 'go': 21, 'ios': 20, 'amazon-web-services': 19, 'android': 18, 'visual-studio-code': 18, 'string': 18, 'arrays': 17, 'npm': 16, 'xcode': 16, 'postgresql': 15, 'reactjs': 15, 'django': 13, 'angular': 13, 'c#': 12, 'swift': 12, 'tensorflow': 11, 'typescript': 9, 'react-native': 9, 'json': 9, 'asp.net-core': 9, 'mysql': 8, 'android-studio': 8, 'numpy': 8, 'kotlin': 6, 'firebase': 6, 'vue.js': 5, '.net': 5, 'flutter': 5, 'html': 3, 'angularjs': 3, 'css': 3, 'pandas': 3, 'dart': 3, 'gradle': 2, 'sql': 2, 'spring': 2, 'spring-boot': 2, 'dataframe': 1, 'jquery': 1})"
1,23.0,"Counter({'java': 894, 'spring': 733, 'spring-boot': 701, 'json': 33, 'mysql': 29, 'gradle': 26, 'kotlin': 24, 'javascript': 22, 'android': 22, 'angularjs': 19, 'postgresql': 18, 'amazon-web-services': 11, 'c#': 11, 'python': 9, 'ios': 6, 'swift': 6, 'flutter': 5, 'sql': 5, 'angular': 5, 'c++': 4, 'node.js': 4, 'typescript': 4, 'reactjs': 4, 'visual-studio-code': 4, 'html': 3, 'macos': 3, 'xcode': 3, 'git': 3, 'dataframe': 3, 'dart': 3, 'asp.net-core': 3, 'jquery': 3, 'django': 2, 'npm': 2, '.net': 2, 'vue.js': 2, 'firebase': 2, 'go': 2, 'tensorflow': 1, 'arrays': 1, 'linux': 1, 'github': 1, 'r': 1, 'numpy': 1, 'react-native': 1, 'css': 1, 'php': 1, 'laravel': 1, 'docker': 1, 'android-studio': 1, 'pandas': 1})"
2,29.0,"Counter({'javascript': 1631, 'arrays': 486, 'python': 399, 'node.js': 371, 'c#': 278, 'java': 244, 'swift': 238, 'php': 209, 'json': 175, 'ios': 156, 'android': 154, 'jquery': 144, 'typescript': 140, 'angular': 132, 'reactjs': 128, 'html': 115, 'numpy': 111, 'firebase': 100, 'amazon-web-services': 91, 'laravel': 76, 'c++': 66, 'spring': 65, 'vue.js': 59, 'kotlin': 58, 'react-native': 58, 'asp.net-core': 56, '.net': 52, 'angularjs': 52, 'go': 51, 'spring-boot': 51, 'string': 49, 'django': 46, 'python-3.x': 41, 'flutter': 35, 'dart': 30, 'xcode': 28, 'bash': 25, 'postgresql': 20, 'mysql': 18, 'git': 15, 'macos': 14, 'css': 14, 'visual-studio-code': 13, 'docker': 12, 'npm': 10, 'r': 10, 'android-studio': 8, 'linux': 8, 'sql': 8, 'pandas': 7, 'github': 7, 'tensorflow': 2, 'dataframe': 2, 'gradle': 1})"
3,4.0,"Counter({'html': 390, 'javascript': 354, 'python': 322, 'css': 212, 'android': 187, 'ios': 138, 'angular': 90, 'swift': 89, 'jquery': 78, 'reactjs': 78, 'flutter': 63, 'php': 62, 'c#': 51, 'java': 50, 'node.js': 47, 'vue.js': 46, 'typescript': 42, 'angularjs': 40, 'dart': 40, 'numpy': 35, 'react-native': 34, 'github': 34, 'docker': 34, 'python-3.x': 33, 'laravel': 33, 'xcode': 31, 'c++': 31, 'r': 27, 'json': 21, 'visual-studio-code': 19, 'django': 18, 'amazon-web-services': 16, 'tensorflow': 15, 'firebase': 13, 'macos': 12, 'linux': 11, 'android-studio': 11, 'arrays': 10, 'go': 10, 'spring': 9, 'spring-boot': 9, 'pandas': 9, 'sql': 8, 'mysql': 8, 'string': 8, 'bash': 6, 'git': 6, 'kotlin': 6, 'asp.net-core': 6, '.net': 5, 'postgresql': 4, 'npm': 2})"
4,34.0,"Counter({'javascript': 417, 'html': 288, 'angular': 199, 'typescript': 173, 'jquery': 151, 'python': 139, 'android': 133, 'ios': 98, 'css': 95, 'reactjs': 89, 'java': 89, 'php': 86, 'swift': 80, 'c#': 80, 'angularjs': 61, 'json': 60, 'vue.js': 54, 'flutter': 41, 'laravel': 37, 'c++': 36, 'amazon-web-services': 34, 'django': 33, 'node.js': 30, 'git': 29, 'firebase': 28, 'postgresql': 28, 'react-native': 26, 'dart': 26, 'arrays': 24, 'kotlin': 23, '.net': 23, 'go': 22, 'visual-studio-code': 21, 'xcode': 20, 'asp.net-core': 20, 'sql': 19, 'python-3.x': 19, 'r': 16, 'mysql': 15, 'spring': 13, 'macos': 11, 'bash': 11, 'android-studio': 10, 'github': 10, 'string': 9, 'linux': 8, 'tensorflow': 7, 'pandas': 4, 'docker': 4, 'spring-boot': 4, 'dataframe': 2, 'numpy': 2, 'npm': 1, 'gradle': 1})"
5,14.0,"Counter({'python': 1943, 'python-3.x': 459, 'django': 145, 'bash': 93, 'linux': 85, 'tensorflow': 78, 'string': 75, 'macos': 67, 'c++': 67, 'java': 63, 'numpy': 62, 'pandas': 57, 'javascript': 54, 'visual-studio-code': 48, 'r': 42, 'json': 42, 'go': 40, 'node.js': 36, 'swift': 35, 'amazon-web-services': 32, 'arrays': 32, 'docker': 28, 'ios': 28, 'git': 25, 'c#': 25, 'xcode': 23, 'android': 22, 'mysql': 21, 'html': 21, 'postgresql': 21, 'php': 14, 'kotlin': 14, 'typescript': 10, 'github': 10, 'flutter': 10, 'dataframe': 9, 'dart': 7, 'css': 6, 'reactjs': 6, 'laravel': 5, 'npm': 5, 'firebase': 5, 'gradle': 4, '.net': 4, 'jquery': 4, 'sql': 4, 'angularjs': 3, 'android-studio': 3, 'spring': 2, 'angular': 2, 'react-native': 1})"
6,0.0,"Counter({'docker': 2059, 'mysql': 460, 'python': 454, 'visual-studio-code': 400, 'node.js': 398, 'android': 395, 'java': 339, 'linux': 324, 'android-studio': 287, 'php': 279, 'macos': 275, 'c#': 245, 'javascript': 200, 'git': 190, 'bash': 184, 'amazon-web-services': 183, 'postgresql': 177, 'laravel': 101, 'ios': 95, 'npm': 92, 'sql': 89, 'django': 87, 'reactjs': 76, 'asp.net-core': 68, '.net': 65, 'c++': 65, 'github': 62, 'react-native': 62, 'xcode': 61, 'go': 55, 'angular': 55, 'spring-boot': 55, 'flutter': 50, 'python-3.x': 47, 'spring': 41, 'gradle': 41, 'typescript': 40, 'r': 37, 'html': 31, 'swift': 29, 'vue.js': 25, 'dart': 23, 'json': 22, 'firebase': 20, 'tensorflow': 19, 'angularjs': 15, 'css': 11, 'kotlin': 11, 'pandas': 9, 'jquery': 8, 'numpy': 7, 'string': 5, 'arrays': 1, 'dataframe': 1})"
7,15.0,"Counter({'javascript': 757, 'java': 706, 'python': 642, 'c#': 439, 'string': 370, 'c++': 324, 'typescript': 291, 'json': 263, 'swift': 241, 'android': 216, 'arrays': 191, 'node.js': 157, 'angular': 148, 'ios': 144, 'kotlin': 136, 'php': 135, 'go': 120, 'reactjs': 120, 'spring': 103, '.net': 86, 'python-3.x': 81, 'firebase': 81, 'dart': 72, 'sql': 69, 'r': 65, 'flutter': 62, 'django': 60, 'laravel': 60, 'jquery': 59, 'pandas': 54, 'html': 52, 'mysql': 46, 'spring-boot': 46, 'asp.net-core': 45, 'bash': 40, 'postgresql': 34, 'vue.js': 32, 'tensorflow': 29, 'amazon-web-services': 29, 'dataframe': 24, 'xcode': 23, 'angularjs': 21, 'numpy': 20, 'linux': 19, 'visual-studio-code': 19, 'react-native': 19, 'android-studio': 14, 'css': 13, 'macos': 10, 'git': 8, 'github': 6, 'gradle': 6, 'npm': 5, 'docker': 3})"
8,7.0,"Counter({'python': 2219, 'pandas': 1667, 'dataframe': 719, 'r': 278, 'javascript': 242, 'java': 172, 'python-3.x': 166, 'numpy': 162, 'string': 141, 'c#': 140, 'swift': 110, 'sql': 108, 'json': 96, 'php': 73, 'postgresql': 71, 'ios': 69, 'mysql': 63, 'arrays': 56, 'typescript': 54, 'c++': 50, 'android': 47, '.net': 38, 'html': 37, 'dart': 35, 'go': 34, 'angular': 34, 'node.js': 31, 'reactjs': 30, 'flutter': 29, 'bash': 28, 'laravel': 25, 'amazon-web-services': 23, 'jquery': 21, 'visual-studio-code': 20, 'kotlin': 18, 'css': 17, 'xcode': 14, 'react-native': 14, 'angularjs': 13, 'django': 12, 'vue.js': 9, 'linux': 8, 'firebase': 8, 'macos': 7, 'asp.net-core': 7, 'tensorflow': 7, 'git': 6, 'github': 4, 'android-studio': 4, 'docker': 3, 'spring': 3, 'npm': 2, 'spring-boot': 2, 'gradle': 1})"
9,32.0,"Counter({'css': 1968, 'html': 1184, 'javascript': 750, 'jquery': 258, 'reactjs': 244, 'angular': 223, 'ios': 210, 'android': 149, 'python': 148, 'react-native': 137, 'swift': 128, 'vue.js': 94, 'flutter': 84, 'c#': 64, 'typescript': 53, 'java': 49, 'angularjs': 49, 'dart': 46, 'c++': 44, 'r': 43, 'php': 31, 'xcode': 26, 'node.js': 21, 'laravel': 20, 'python-3.x': 16, 'visual-studio-code': 14, 'amazon-web-services': 14, 'macos': 13, '.net': 13, 'android-studio': 9, 'arrays': 9, 'string': 6, 'dataframe': 6, 'asp.net-core': 6, 'docker': 6, 'github': 6, 'django': 6, 'firebase': 6, 'json': 5, 'numpy': 5, 'kotlin': 5, 'spring-boot': 5, 'pandas': 5, 'linux': 4, 'npm': 4, 'git': 3, 'bash': 2, 'spring': 2, 'tensorflow': 2, 'mysql': 1, 'gradle': 1, 'sql': 1, 'go': 1})"
10,20.0,"Counter({'android': 1707, 'java': 828, 'gradle': 817, 'android-studio': 524, 'firebase': 459, 'c#': 245, 'javascript': 236, 'ios': 225, 'kotlin': 216, 'python': 191, 'xcode': 161, 'laravel': 146, 'php': 145, 'node.js': 131, 'flutter': 126, 'react-native': 124, 'git': 106, 'swift': 97, 'spring': 95, 'c++': 94, 'amazon-web-services': 85, 'spring-boot': 84, 'npm': 73, 'asp.net-core': 71, 'reactjs': 66, '.net': 64, 'github': 63, 'angular': 62, 'visual-studio-code': 62, 'typescript': 60, 'docker': 54, 'dart': 48, 'postgresql': 44, 'linux': 42, 'macos': 42, 'tensorflow': 32, 'json': 31, 'go': 29, 'html': 28, 'python-3.x': 25, 'bash': 24, 'r': 23, 'django': 22, 'vue.js': 20, 'sql': 19, 'angularjs': 19, 'arrays': 16, 'mysql': 15, 'jquery': 12, 'numpy': 9, 'css': 8, 'pandas': 7, 'string': 5, 'dataframe': 3})"
11,37.0,"Counter({'android': 1204, 'python': 1006, 'ios': 612, 'node.js': 283, 'xcode': 261, 'npm': 252, 'macos': 207, 'java': 192, 'javascript': 190, 'swift': 190, 'python-3.x': 172, 'firebase': 169, 'r': 150, 'react-native': 149, 'flutter': 142, 'android-studio': 109, 'linux': 107, 'c#': 99, 'php': 90, 'dart': 72, 'docker': 72, 'reactjs': 71, 'tensorflow': 65, 'visual-studio-code': 60, 'kotlin': 55, 'django': 52, 'amazon-web-services': 49, 'angular': 49, 'go': 46, 'git': 40, 'github': 39, 'c++': 39, 'postgresql': 36, 'typescript': 34, 'laravel': 34, 'bash': 33, 'html': 30, '.net': 30, 'pandas': 23, 'numpy': 22, 'json': 20, 'gradle': 19, 'asp.net-core': 19, 'vue.js': 17, 'mysql': 15, 'jquery': 14, 'angularjs': 12, 'spring-boot': 10, 'spring': 8, 'arrays': 7, 'css': 6, 'string': 6, 'dataframe': 4, 'sql': 4})"
12,13.0,"Counter({'node.js': 242, 'npm': 205, 'python': 166, 'javascript': 164, 'typescript': 94, 'reactjs': 60, 'angular': 59, 'python-3.x': 48, 'visual-studio-code': 38, 'css': 27, 'html': 21, 'android': 21, 'java': 21, 'vue.js': 19, 'swift': 18, 'android-studio': 18, 'git': 18, 'go': 15, 'jquery': 14, 'ios': 13, 'react-native': 13, 'amazon-web-services': 12, 'macos': 10, 'tensorflow': 10, 'github': 10, 'json': 8, 'c++': 8, 'php': 8, 'xcode': 7, 'firebase': 6, 'laravel': 6, 'flutter': 6, 'kotlin': 6, 'docker': 5, 'angularjs': 5, 'numpy': 5, 'dart': 5, 'linux': 4, 'pandas': 2, 'mysql': 2, 'django': 2, 'gradle': 1, 'asp.net-core': 1, 'r': 1, 'c#': 1, '.net': 1, 'spring': 1, 'bash': 1})"
13,1.0,"Counter({'ios': 2090, 'swift': 1303, 'android': 1270, 'python': 1241, 'javascript': 1189, 'java': 826, 'c#': 801, 'xcode': 553, 'c++': 540, 'angular': 366, 'reactjs': 353, 'git': 339, 'php': 330, 'flutter': 320, 'react-native': 320, 'node.js': 283, 'html': 278, 'visual-studio-code': 269, 'css': 248, 'r': 223, 'android-studio': 209, 'typescript': 203, 'laravel': 191, 'jquery': 177, 'dart': 177, '.net': 175, 'amazon-web-services': 171, 'macos': 163, 'firebase': 163, 'linux': 159, 'bash': 159, 'python-3.x': 157, 'angularjs': 157, 'kotlin': 157, 'asp.net-core': 147, 'go': 145, 'django': 133, 'github': 122, 'sql': 122, 'string': 118, 'arrays': 117, 'json': 116, 'postgresql': 111, 'vue.js': 111, 'tensorflow': 110, 'spring': 108, 'mysql': 96, 'pandas': 86, 'numpy': 71, 'npm': 65, 'docker': 57, 'spring-boot': 48, 'gradle': 34, 'dataframe': 28})"
14,33.0,"Counter({'android': 748, 'java': 701, 'kotlin': 98, 'android-studio': 66, 'react-native': 57, 'gradle': 40, 'firebase': 32, 'spring': 31, 'spring-boot': 29, 'macos': 26, 'json': 15, 'ios': 15, 'mysql': 15, 'javascript': 15, 'linux': 14, 'flutter': 12, 'python': 11, 'amazon-web-services': 10, 'reactjs': 9, 'string': 8, 'docker': 8, 'c#': 6, 'swift': 5, 'xcode': 5, 'git': 5, 'r': 4, 'visual-studio-code': 4, 'arrays': 4, 'node.js': 4, 'typescript': 3, 'tensorflow': 2, 'css': 2, 'postgresql': 2, 'php': 2, 'dart': 2, 'c++': 2, 'go': 2, 'angularjs': 1, 'html': 1, 'npm': 1, 'sql': 1, 'dataframe': 1, 'asp.net-core': 1, 'pandas': 1, 'github': 1, 'vue.js': 1, 'python-3.x': 1})"
15,9.0,"Counter({'angular': 2241, 'javascript': 928, 'typescript': 922, 'node.js': 519, 'reactjs': 272, 'npm': 264, 'angularjs': 253, 'vue.js': 184, 'html': 80, 'css': 66, 'visual-studio-code': 63, 'react-native': 57, 'c++': 47, 'java': 44, 'android': 44, 'python': 40, 'firebase': 40, 'jquery': 32, 'ios': 27, 'amazon-web-services': 26, 'c#': 22, 'laravel': 20, 'json': 18, 'docker': 18, 'asp.net-core': 17, 'go': 16, 'swift': 15, 'macos': 14, 'php': 14, 'git': 13, 'django': 10, 'dart': 10, 'string': 9, 'kotlin': 9, 'arrays': 8, 'spring': 8, 'linux': 7, 'github': 7, 'flutter': 7, 'python-3.x': 6, '.net': 6, 'spring-boot': 5, 'xcode': 4, 'mysql': 4, 'postgresql': 3, 'android-studio': 2, 'pandas': 2, 'numpy': 1, 'r': 1, 'bash': 1, 'tensorflow': 1, 'sql': 1})"
16,11.0,"Counter({'javascript': 191, 'python': 109, 'c++': 96, 'java': 88, 'c#': 73, 'angular': 69, 'json': 65, 'android': 63, 'typescript': 61, 'html': 59, 'reactjs': 51, 'jquery': 44, 'node.js': 42, 'r': 41, 'go': 35, 'php': 32, 'ios': 31, 'visual-studio-code': 29, 'vue.js': 28, 'swift': 28, 'arrays': 27, 'mysql': 26, 'sql': 25, 'kotlin': 23, '.net': 22, 'bash': 21, 'string': 19, 'css': 19, 'asp.net-core': 19, 'flutter': 18, 'npm': 17, 'docker': 17, 'dart': 17, 'python-3.x': 15, 'firebase': 14, 'amazon-web-services': 13, 'linux': 13, 'postgresql': 13, 'laravel': 12, 'django': 11, 'pandas': 9, 'xcode': 9, 'dataframe': 8, 'android-studio': 8, 'angularjs': 7, 'react-native': 7, 'spring-boot': 7, 'spring': 6, 'macos': 5, 'gradle': 4, 'numpy': 4, 'git': 1, 'tensorflow': 1})"
17,5.0,"Counter({'javascript': 671, 'node.js': 583, 'c#': 405, 'python': 351, 'angular': 269, 'java': 259, 'php': 223, 'django': 208, 'typescript': 171, 'laravel': 167, 'reactjs': 128, 'asp.net-core': 115, 'spring': 112, '.net': 86, 'android': 84, 'c++': 73, 'json': 72, 'spring-boot': 53, 'vue.js': 53, 'html': 52, 'flutter': 49, 'amazon-web-services': 47, 'python-3.x': 45, 'swift': 44, 'angularjs': 44, 'firebase': 44, 'jquery': 43, 'tensorflow': 42, 'dart': 40, 'ios': 37, 'react-native': 34, 'go': 32, 'kotlin': 30, 'linux': 18, 'xcode': 17, 'visual-studio-code': 17, 'mysql': 14, 'postgresql': 13, 'git': 12, 'r': 11, 'bash': 11, 'npm': 9, 'sql': 8, 'macos': 8, 'string': 8, 'github': 8, 'arrays': 8, 'css': 7, 'docker': 6, 'android-studio': 4, 'pandas': 2, 'numpy': 2, 'dataframe': 1})"
18,19.0,"Counter({'flutter': 842, 'dart': 482, 'android': 469, 'angular': 195, 'css': 186, 'javascript': 170, 'ios': 161, 'react-native': 108, 'html': 100, 'swift': 99, 'reactjs': 99, 'python': 89, 'java': 49, 'vue.js': 45, 'typescript': 40, 'c#': 36, 'r': 33, 'xcode': 28, 'visual-studio-code': 23, 'firebase': 22, 'jquery': 20, 'php': 17, 'kotlin': 17, 'android-studio': 16, 'angularjs': 13, 'arrays': 12, 'string': 11, 'laravel': 10, 'python-3.x': 9, 'c++': 8, 'pandas': 8, 'git': 8, '.net': 8, 'django': 8, 'json': 7, 'macos': 7, 'node.js': 6, 'mysql': 5, 'amazon-web-services': 5, 'github': 4, 'linux': 4, 'npm': 4, 'postgresql': 3, 'asp.net-core': 3, 'spring': 2, 'tensorflow': 2, 'docker': 1, 'bash': 1, 'go': 1, 'spring-boot': 1})"
19,31.0,"Counter({'json': 140, 'javascript': 127, 'java': 53, 'go': 45, 'html': 42, 'android': 34, 'python': 30, 'angular': 25, 'typescript': 25, 'c#': 21, 'ios': 18, 'node.js': 16, 'swift': 14, 'flutter': 12, 'dart': 11, 'c++': 11, 'amazon-web-services': 11, 'arrays': 9, 'reactjs': 9, 'kotlin': 9, 'jquery': 7, 'php': 7, 'postgresql': 7, 'asp.net-core': 7, 'css': 6, 'sql': 6, 'visual-studio-code': 5, 'spring': 5, 'angularjs': 4, 'django': 4, 'xcode': 4, 'vue.js': 4, 'r': 4, 'npm': 3, 'mysql': 3, 'bash': 3, 'dataframe': 3, 'laravel': 3, 'git': 3, 'firebase': 3, 'react-native': 3, 'string': 2, 'python-3.x': 2, 'pandas': 2, 'spring-boot': 2, 'android-studio': 1, '.net': 1, 'linux': 1, 'numpy': 1})"
